word,Freq
black,2853
dog,6155
is,6907
running,1587
after,145
white,2921
in,14085
the,13511
snow,1164
chasing,144
brown,1995
through,1533
two,4246
dogs,1620
chase,29
each,318
other,564
across,353
snowy,318
ground,270
play,576
together,314
low,54
lying,69
body,141
of,4967
water,2007
little,1266
baby,322
plays,392
croquet,5
girl,2414
next,535
to,2305
truck,64
child,1119
playing,1485
croquette,1
by,901
kid,137
front,996
car,318
with,5763
put,17
and,6672
ball,1326
boy,2633
hammer,4
beside,172
has,428
something,251
hot,26
pink,543
its,698
mouth,736
holding,972
hat,493
shirt,1361
carrying,341
while,1442
walking,869
looking,563
forward,18
along,380
beach,730
wearing,2271
collar,136
walks,400
on,8001
sand,334
near,752
large,894
ocean,313
red,1976
frisbee,239
standing,1302
sandy,91
drops,4
disc,18
flying,112
air,766
catching,81
dropping,8
cyclist,51
helmet,288
riding,698
pavement,38
bike,647
street,697
person,1118
down,1362
woman,2543
wears,86
blue,1667
as,625
she,62
goes,54
for,706
ride,196
shade,15
roa,6
man,5372
dressed,409
purple,244
bandanna,32
smiles,138
at,2101
people,2092
watching,188
him,294
leather,49
chaps,4
chainmail,1
codpiece,1
poses,100
camera,520
stands,654
onlookers,35
there,229
men,855
tshirt,125
woodland,14
runs,724
some,453
trees,193
young,1976
dancing,108
around,487
short,53
sleeved,9
jeans,174
stops,12
smile,86
dress,260
back,283
grenade,1
smiling,353
braids,3
looks,373
green,924
skier,132
yellow,929
jacket,504
airborne,55
above,163
mountains,146
jumps,726
high,211
view,69
skiing,82
fluorescent,1
very,131
it,289
though,17
he,151
somone,1
doing,309
ski,66
jump,296
pants,204
appears,29
almost,14
fly,27
into,757
sky,105
photographer,21
over,1062
hills,21
videotaping,2
natural,13
landscape,33
out,553
rolling,32
tripod,11
lady,166
her,860
set,78
up,899
field,973
record,7
bunch,43
girls,638
cheerleader,15
outfits,45
group,909
cheerleaders,16
parade,58
perform,21
many,135
walk,229
uniforms,81
boat,202
canopy,6
floating,28
calm,8
waters,21
roof,10
middle,116
solitude,1
floats,14
lake,228
catches,97
midair,148
terrier,25
mix,3
leaping,100
object,122
old,134
sitting,1018
an,1807
advertisement,10
asian,149
waiting,82
underground,4
train,78
stop,23
sits,437
transit,2
station,24
backlit,8
subway,57
umbrella,74
aquos,1
commercial,2
wall,436
blond,144
trail,108
side,222
metal,88
fence,268
coat,205
rural,34
road,299
flute,10
parka,11
fenced,36
past,120
enclosed,10
area,291
family,55
nine,2
including,7
four,365
children,837
pose,170
brick,121
fireplace,10
mantle,2
christmas,29
tree,323
posing,220
happy,15
couples,8
kids,260
picture,304
sweater,80
pointing,39
one,872
arms,198
outstretched,30
finger,25
pointed,6
another,713
stares,16
from,700
behind,491
who,162
his,1711
look,184
toward,109
points,37
index,1
hallway,15
warily,1
investigating,1
medium,22
sized,21
small,940
larger,27
grassy,356
big,216
tall,109
grass,1210
three,1047
flowers,109
stuffed,48
kitten,4
garden,48
among,33
wildflowers,3
palying,1
toy,464
cat,41
long,213
raises,28
eyebrow,2
stripes,15
handicap,2
signs,30
african,31
american,66
building,372
handicapped,3
space,10
orange,556
backwards,19
wet,134
stick,369
shore,113
bounds,11
splashing,96
off,526
paws,21
carries,111
are,2624
racing,178
ractrack,1
race,299
track,218
greyhounds,39
muzzles,20
inside,139
curb,21
railed,3
dirt,398
run,275
baseball,220
pitcher,10
shelton,1
throws,50
player,540
glove,13
pitches,4
male,85
sports,46
outfit,106
tries,72
catch,274
wades,10
rock,566
waded,1
shallow,98
reach,20
outcropping,7
light,117
paw,5
about,110
ready,97
exit,1
swim,71
school,31
cross,34
takes,127
outside,600
photograph,29
taking,152
pictures,51
women,480
stand,390
jean,22
hand,252
chest,20
bruised,1
nose,70
writing,25
hands,179
video,33
rental,1
store,85
denim,23
bookcase,1
full,44
videos,1
house,95
sunglasses,183
flowered,17
sit,282
nearby,105
left,63
adults,85
perhaps,2
display,40
case,19
digital,6
glass,49
sides,20
holds,322
sideways,12
arm,115
snowboarder,167
ramp,227
snowboard,70
performing,130
trick,285
making,117
icy,13
mountain,389
climbers,25
line,109
their,510
way,41
covered,229
background,426
facing,37
jumping,1103
hoop,37
ring,54
using,53
laptop,11
cellphone,74
against,154
use,3
electronics,3
bench,294
engage,4
electronic,7
devices,3
races,32
number,76
greyhound,62
muzzle,25
six,51
tan,306
gold,50
muxzzled,1
edge,131
cliff,156
scouts,3
rest,20
bluff,4
overlooking,81
top,378
couple,187
wooded,79
them,189
lined,25
friends,17
stroll,1
forest,126
path,223
woods,153
pat,3
sponsored,4
riwal,1
smoking,46
tires,22
drives,36
rain,36
driving,55
headlights,3
advertising,11
rainy,4
lights,30
raceway,3
bearded,39
whilst,124
bicycle,293
bicycles,44
hair,315
gives,25
peace,23
sign,173
cap,139
flashing,2
sig,4
crowd,351
waving,37
flags,61
passing,25
under,184
bridge,103
or,65
banners,6
gets,82
pull,25
chair,92
meal,10
table,171
cafe,16
restaurant,58
eatery,1
getting,84
grabs,9
seat,37
racket,39
round,26
handle,8
playes,1
stringless,1
backyard,49
lawn,84
clothing,90
yard,156
toys,37
enjoy,13
themselves,15
wind,11
blows,26
trampoline,80
blonde,148
twirl,1
bicyclists,19
between,98
wire,32
fences,4
cyclists,21
country,13
electricity,1
pylon,2
desert,39
bikers,26
dry,65
land,21
climbing,373
steep,41
hill,336
climbs,144
great,5
dane,1
spins,12
merrygoround,13
childern,1
merry,3
go,41
watch,176
fathers,1
spinning,25
playground,130
that,296
skirt,61
golden,88
retriever,33
excitedly,1
greeting,1
towards,173
away,120
greet,3
dooorway,1
bus,55
onward,2
door,47
vehicle,62
glancing,1
window,110
trolley,1
passengers,5
peaking,2
peering,3
hiding,9
peeking,7
striped,158
peeks,8
hold,72
drinks,49
point,13
bottles,10
several,238
this,113
photo,65
beers,3
border,8
collie,23
bed,111
tennis,317
climber,95
peak,16
rocks,185
snowcapped,12
hikes,12
following,17
surrounded,134
distance,78
smoke,29
comes,13
starts,6
broken,14
during,137
badly,1
racetrack,43
bullbranded,1
leaves,90
bags,63
igloo,5
cave,19
luggage,13
overnight,1
stay,2
backpacks,28
piled,3
ice,159
visible,12
hole,36
starting,12
steps,101
murky,12
putting,27
legs,96
pon,3
busy,75
city,229
silhouette,19
buildings,43
crowded,53
thre,1
shot,41
turned,15
chases,76
threw,3
interacting,8
opposite,24
direction,18
fetch,23
also,17
outdoors,126
cameras,6
third,30
river,159
skis,58
backdrop,3
face,371
rope,184
swimming,342
creek,30
pond,67
rotweiler,2
playfully,26
rolls,18
int,5
chewing,36
resting,33
game,279
elderly,69
straw,26
alone,25
park,375
haired,112
gray,114
darkhaired,6
beard,48
guitar,118
attractive,3
halo,2
head,264
ceiling,8
wide,40
drink,85
upward,3
reading,65
paperback,3
book,61
elder,4
scarf,54
older,174
reads,35
consulting,1
looker,1
motocross,34
spill,1
zipping,1
slips,1
motorcycle,186
tight,10
turn,62
motorbike,24
bright,96
someone,111
fall,33
rider,143
accident,2
cots,3
sleeping,44
makeshift,5
beds,3
hanging,130
mountainside,21
skateboarder,239
skateboard,329
hopes,3
landing,25
teenage,47
flipping,12
tricks,75
dark,179
colored,133
protest,10
banner,11
staring,43
religious,8
sidewalk,278
poster,9
word,1
mambo,3
image,16
teddy,6
bear,18
showing,34
humping,3
stool,11
trying,121
sell,4
animals,28
selling,8
various,17
vendor,11
sells,5
visitors,2
inflatable,57
guy,172
navy,9
shorts,282
pool,509
football,375
trunks,66
strange,14
antics,1
diving,47
plastic,104
slide,234
portion,2
equipment,62
shaded,3
fire,76
baton,3
day,91
juggling,8
flames,11
bubbles,70
float,23
popping,5
woven,3
toboggan,3
knitted,2
right,62
poof,1
woolen,1
shoes,63
sandals,18
tug,24
war,18
pulling,78
end,44
tugofwar,6
rottweiler,4
outsid,1
surf,63
wave,227
surfers,16
surfing,68
attempting,38
sea,24
huge,77
sunset,49
rides,335
biking,19
dirtbikes,2
muddy,67
slope,64
crossing,42
buses,4
headwraps,2
hurrying,3
heads,37
night,122
phone,42
talks,39
nigh,1
pile,51
rail,80
snowpile,1
stunt,60
soccer,453
uniform,187
kick,52
match,34
watches,200
knee,14
female,83
break,24
driver,21
wheel,51
thumbs,16
before,27
polka,12
dots,4
boots,51
hurridly,1
hip,4
kimono,2
purse,34
followed,11
redheaded,21
pedestrians,8
meandering,1
casually,2
barefoot,36
beac,13
cute,7
puppy,73
fetches,7
chew,14
fluffy,47
rings,9
gras,13
dock,61
laughing,77
bucket,36
splashes,50
pier,20
beneath,13
dances,41
room,94
balloons,21
floor,96
socks,7
wooden,209
strewn,6
strings,6
confetti,6
bluejean,1
wood,52
mother,30
chinatown,1
both,64
awnings,2
ledge,60
scales,11
tent,56
being,244
enter,6
fishing,75
setting,58
hut,9
iced,2
tarp,8
structure,60
surface,47
few,46
foam,14
statue,47
liberty,4
hats,76
statute,1
crowns,1
take,65
photos,7
new,8
york,3
get,88
taken,20
fight,58
daschunds,1
wiener,2
jersey,87
leaps,146
dives,14
going,111
begin,3
sheer,13
climb,68
pretty,4
flat,12
rocky,188
card,5
know,2
what,15
picure,1
says,24
referring,1
periods,1
they,90
bathing,80
suit,182
sprinklers,16
sprinkler,40
sliding,100
paddling,29
kiddie,10
lone,59
flies,73
leafless,5
pulled,31
shovel,12
scoop,2
skyward,2
pictur,5
distorted,8
open,150
ends,8
bottom,35
just,39
reaching,28
lands,9
reaches,22
slid,6
piano,9
sings,11
harpsichord,1
preparing,26
sing,10
singer,8
pianist,1
music,26
bares,4
teeth,37
tongue,94
expanse,3
curly,31
violin,24
boe,1
transparent,2
walls,9
posters,5
rubbing,5
chin,6
be,63
cover,17
teenager,17
struggles,3
carry,12
piggyback,3
walkng,1
paved,37
piggy,5
covering,24
arab,3
turban,3
facial,6
palestinian,1
style,10
headscarf,20
grey,183
bird,147
majestically,1
waves,97
roll,7
crane,11
upon,4
onto,155
pole,115
swings,91
silver,51
swinging,106
bounces,7
leotard,9
straddle,1
split,4
hello,5
kitty,5
does,171
leg,44
splits,4
leans,38
board,93
platform,36
skateboarders,10
eating,112
seeds,5
eats,35
sunflower,1
clinging,3
stone,103
friend,25
helps,17
help,15
learning,3
how,10
helping,20
sweatshirt,56
competitor,2
not,13
far,10
racer,36
slightly,10
competition,38
circuit,6
dirtbike,1
cheering,8
grabbing,12
ankle,5
oklahoma,15
score,8
fans,11
cheer,9
endzone,1
athlete,12
performs,72
launching,1
herself,16
bar,83
vault,3
vaulting,1
vaulter,1
upside,68
attempts,43
feet,63
do,45
vaultin,1
gap,1
flip,62
blocks,16
concrete,82
carefully,6
crosses,17
reflection,11
cinderblock,1
caught,23
pajamas,12
hall,9
hardwood,8
floors,4
floored,4
brighly,1
lit,31
toddler,124
chairs,55
kneel,4
folding,9
row,25
talking,118
spotted,27
fast,40
seated,32
stadium,28
event,47
fill,3
packed,6
indoor,29
dig,4
duck,26
pet,10
chased,13
parachute,22
lifting,7
attached,41
parasail,6
suspended,19
silhouetted,8
sunny,45
gliding,11
backed,1
sun,83
skateboarding,94
slides,64
railing,88
shines,6
skating,56
stair,15
sliiding,1
have,51
pillow,12
pillowfight,1
having,30
skates,29
neck,32
grazes,3
flight,25
boats,33
boxing,15
boxers,4
fighting,96
box,39
faces,56
funny,28
makes,79
glasses,136
rusty,7
barks,10
barking,23
bark,4
hose,36
pouring,13
drinking,83
which,38
squirted,9
swimwear,2
floaters,1
wings,32
swimsuits,14
lacrosse,7
players,221
struggling,4
control,10
team,120
breaks,4
hit,55
hockey,143
type,16
sport,15
like,63
sticks,43
guys,67
all,96
saying,9
free,7
dinner,8
cement,59
skate,49
prepares,44
wipeout,1
hugging,52
embracing,7
hugs,10
dunks,4
basketball,270
make,40
basket,28
goal,55
dunking,5
grinding,31
snowboarding,44
steel,4
guardrail,2
homemade,8
made,21
piece,47
log,42
midleap,2
crystalclear,1
wrapped,15
tape,8
painters,1
brother,10
superman,7
cape,12
cast,12
material,4
super,2
heroe,1
airplane,15
plane,16
jet,16
runway,2
propeller,1
pilot,2
seen,28
windows,9
headfirst,15
digging,32
poking,4
brush,10
digs,14
greenhouse,6
gardening,2
tools,6
tend,2
work,11
rakes,1
unfinished,1
fishes,14
rod,5
jetty,4
boys,485
living,10
shown,21
wear,38
tshirts,8
computer,22
monitor,5
eat,19
cream,36
dolly,2
adult,84
sat,7
ate,1
world,4
college,8
tackled,15
jerseys,22
tackle,29
tackling,15
uniformed,12
try,29
fan,9
devotion,1
painting,32
paint,44
within,9
nfl,1
painted,49
bleacher,1
dalmatians,3
spots,22
palm,15
palmtree,1
route,3
treelined,5
stretch,8
signage,1
displaying,4
paintings,4
framed,5
artwork,3
sale,3
sno,9
desolate,2
shirts,97
fallen,52
dead,22
church,13
bicyclist,47
aerial,7
scooter,44
suburban,6
neighborhood,14
scoote,1
center,13
rollerblades,27
rollerblader,16
narrow,14
grinds,21
rollerblading,22
ledg,2
participate,9
martial,23
arts,16
tournament,5
mat,18
protective,16
gear,97
spar,3
helmets,32
sparring,5
skateboards,38
skater,22
skids,1
teeshirt,1
flag,65
headband,37
vest,71
indoors,26
baring,4
handrail,26
foot,32
indian,14
crossed,14
folded,7
ethnic,2
outdoor,87
market,28
shining,6
graffiti,44
plank,7
no,65
viewing,2
hung,1
gallery,14
naked,24
individuals,9
chinese,7
ladies,36
bank,22
lockers,6
locker,1
retrieves,11
slimy,1
seaweed,2
coming,62
mossy,2
hiker,66
descends,8
hiking,56
bringing,3
leafy,14
gravel,36
amidst,13
autumn,11
others,127
laugh,25
touching,20
laughs,24
fun,13
blowup,4
onrushing,1
splash,34
wading,35
shallows,4
bald,52
drag,9
queens,1
dresses,63
matching,30
jewelry,7
clothes,108
formally,2
jumped,26
sniff,2
somthing,4
walkway,21
biker,122
moving,27
bump,2
wate,17
furry,45
doorway,25
leading,12
plants,27
patio,12
potted,5
hairy,5
step,27
formula,1
cars,52
leave,4
start,7
twilight,3
beginning,7
see,21
racers,15
sled,82
harness,62
pack,23
grouped,1
winter,86
soaking,6
rockclimbing,2
wheelie,23
terrain,27
clutching,3
turquoise,8
guard,10
thin,11
markings,14
ears,56
somersault,4
throwing,75
tossing,13
touches,17
challenging,6
teams,40
quickly,24
meadow,11
surfer,127
crashing,22
follows,25
surfboard,117
laying,140
power,6
lines,7
unusual,5
shaped,17
stump,18
teammates,4
referee,24
breaking,15
intervening,1
artist,10
canvas,4
overalls,25
easel,3
coverall,1
paintbrush,2
shady,3
travels,8
heavily,10
fangs,2
german,54
shepherd,53
leash,105
somebody,3
leashed,8
falling,61
backward,4
urban,33
partially,16
bandmates,1
guitars,8
suits,43
electric,7
musicians,11
associated,1
curtain,5
blouse,2
frolics,7
panes,1
mini,6
africanamerican,8
moped,3
heels,10
pumps,5
scar,1
lap,29
steers,5
suv,9
drivers,3
jeep,30
technical,2
supported,2
cords,5
abseiling,3
repelling,4
flock,16
birds,36
disturbed,1
mural,10
pigeons,24
bride,42
escorted,2
newly,3
wed,2
wife,2
held,49
pastor,1
newlyweds,2
polo,8
hides,6
overgrown,2
bushes,27
grasses,3
boogieboard,2
cushion,7
spiderpatterned,1
base,29
close,35
incoming,5
dirty,36
crashes,6
beyond,5
relaxing,14
trench,7
waits,34
sculpture,16
bikini,46
pulls,24
taller,2
eyeglasses,2
skaters,6
rink,19
scenery,6
mountian,2
netting,1
bounce,14
filled,31
bouncy,7
castle,4
swimsuit,39
tightrope,8
students,15
campus,5
quad,4
but,19
falls,27
practice,5
throat,1
asking,8
daughter,11
nice,5
pretending,9
choke,1
joking,1
biting,59
limb,6
branch,39
gnawing,5
plant,13
uncut,6
barrel,18
snarls,2
buckets,12
poles,42
seven,26
teenagers,26
wait,33
gate,23
shit,2
puts,24
gesture,5
raised,17
illustrated,1
newspaper,27
kitchen,39
owner,25
retrieving,15
dining,4
paper,57
tile,8
sharing,8
kiss,19
cold,22
kissing,39
taxi,2
passes,18
teen,10
coats,25
corrugated,1
tunnel,53
halloween,9
eyes,75
crawls,15
beautiful,32
tube,38
leads,19
casterol,1
branding,1
trucks,5
five,130
obstacle,92
course,104
racin,1
elephant,12
draped,2
fabric,14
trunk,24
brightcolored,1
colorful,160
drap,1
foliage,13
swimmers,11
move,16
mud,89
puddle,70
nearly,5
identical,11
dump,1
pour,2
poured,2
treated,2
shirtless,74
couch,60
beaded,3
disk,7
snowcovered,36
sleeding,1
helme,2
show,40
support,4
statefarm,1
com,3
wheeled,9
topples,2
tricycle,14
pedal,3
wheels,14
threewheeled,5
throught,2
carnival,30
worker,16
animal,74
prizes,3
amongst,7
shelf,3
riverbank,3
camps,1
camping,13
patches,7
supplies,3
ditch,8
facepaintings,1
pain,4
painte,1
dribbles,17
north,2
carolina,2
moves,17
tea,4
coffee,19
gather,28
beverages,3
home,25
outstreached,7
begins,15
spreads,4
plaid,41
print,12
touchdown,2
rescue,5
follow,9
lead,16
flips,19
canoe,52
still,11
drifting,2
fat,8
traveling,11
stairs,80
stepping,5
blackandwhite,4
shaggy,25
foreground,24
inlineskates,1
fisheye,1
public,34
mulch,1
stirring,1
dust,12
sooners,19
lifted,7
teamates,1
same,43
athletes,6
headless,1
mannequins,3
waterfall,60
onlooker,1
overlooked,2
massive,4
waterfalls,6
guns,4
pavillion,1
shooting,30
beige,39
athletic,12
coach,14
nike,3
whistle,4
beagle,11
basset,1
hound,5
costumes,43
frame,22
unseen,6
multicultural,1
excited,8
audience,25
pointin,1
parallel,8
kicks,49
opponent,8
compete,14
karate,13
belts,3
clapping,5
ran,8
flexible,2
lift,11
skiers,23
shakes,26
shaking,47
hoodie,25
horse,190
jockey,14
performer,6
lecturer,1
stage,38
spectators,41
onstage,21
presentation,4
mixing,2
aged,13
dj,5
deck,29
pretends,4
younger,33
tables,13
acts,1
meet,6
goggles,54
swimmer,19
competitive,3
apple,10
place,17
bag,103
hips,5
tattoed,1
backpack,129
tattoo,15
clown,23
skydiver,2
safely,2
parachutes,3
landed,2
para,2
gliders,1
practicing,19
craft,4
exercises,3
roughly,3
clearing,6
rough,35
manner,2
collars,10
extreme,6
climbin,2
backpacker,7
carring,4
uses,23
camcorder,4
films,4
enjoyable,1
tosses,6
empty,32
bottle,48
dug,3
agile,1
closely,4
clear,41
volleyball,47
talk,30
bikinis,11
marketplace,7
ascending,7
mountai,3
horizontal,7
watche,4
shephard,4
lak,4
pair,14
schoolchildren,1
spray,30
fountain,129
splashed,26
sprayed,13
manuals,1
closeup,57
backside,1
screen,19
life,69
unicycle,36
riverside,1
steamboat,1
lining,7
coastline,3
location,5
ferry,4
shoreline,18
docked,4
exploring,2
riverboat,1
dolphin,6
pokes,5
shoe,16
horseshoe,3
horseshoes,4
corner,44
shoulders,24
these,24
noses,9
numbers,9
dune,19
brilliant,2
weathered,1
watercraft,7
swing,258
strikes,3
medatative,1
gestures,10
meditational,1
closed,20
camer,4
poodle,32
sticking,45
butt,3
bigs,1
inspects,3
tattooed,7
gentleman,15
half,22
relaxes,10
adobe,1
where,32
propped,4
parked,33
topless,12
slippers,2
reclining,2
snowbank,9
kneeling,22
ridge,12
backgroun,10
ancient,4
muscle,3
pass,15
fitls,1
tourist,2
sleeveless,6
floppy,9
emerald,1
spaniel,3
shawl,4
cigarette,59
sweatband,1
blanket,49
hooded,26
pipe,23
burned,1
incense,4
daschund,2
bubble,32
machine,21
bites,20
blowing,48
swims,77
chunk,4
mittens,4
throw,41
snowball,17
grins,6
clump,1
paddles,21
vertical,6
approaching,10
backs,26
varied,2
activities,1
tank,67
official,6
marshlike,1
mucky,1
mostly,10
swampy,4
rubber,23
chickens,7
chicken,5
eight,12
balls,45
fee,1
bottoms,6
pushes,37
stroller,19
brunette,15
pushing,51
carriage,15
females,12
senior,2
flaring,1
hurdle,69
sho,1
lay,17
hang,26
snowman,6
flower,41
paisley,1
yuong,1
figure,16
costume,95
party,46
blood,3
branches,14
europe,1
offcamera,7
bends,9
alley,9
pairs,5
alleyway,4
domed,1
cowboy,37
lasso,6
twirling,4
bull,38
baggage,2
cart,57
carrier,5
rack,6
shopping,62
apart,6
camouflage,26
blow,19
varying,2
breeds,5
sledding,13
snowsuit,14
dogsled,2
town,14
leashes,18
stree,6
strap,5
bite,24
shorthaired,6
snapping,2
strip,16
steering,7
ship,14
navigating,4
partly,5
cloudy,15
skies,7
piloting,1
sailor,4
sailboat,7
aligator,1
puppet,2
camper,2
van,14
rv,4
peer,1
peek,2
snake,6
lean,20
different,28
tub,10
bin,6
multicolored,26
pen,11
enclosure,7
pit,14
shares,1
cutout,9
cut,23
outs,1
balloon,34
dolls,1
drawings,2
only,21
underwear,11
marker,11
write,1
drawing,12
fellows,1
markers,2
toll,1
safety,26
pipes,1
fluorecent,1
neon,15
ribbons,10
won,1
competing,27
kill,1
weirmeiner,1
bir,1
covers,7
jumpinjg,1
stonesign,1
vests,16
penzance,2
welcomes,1
you,17
hiviz,5
jackets,51
welcome,1
carved,3
proud,1
returns,8
fetched,1
horses,77
pony,6
stare,11
crumbling,2
structures,5
reflections,1
edg,1
feild,3
shop,38
mall,6
food,68
court,64
art,32
false,2
turns,15
ladder,19
reached,4
mesh,4
darkheaded,1
popsicle,4
frozen,22
treat,9
eyed,4
curious,4
adventures,1
ahead,17
gymnastic,4
ropes,32
harnesses,9
aid,3
balance,12
dangling,6
